,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.292523753,-8.338236449,-8.386929699,-8.396517172,-8.412736922,-8.411923867,-8.422237466,-8.413379464,-8.415452997,-8.39873961,-8.39399747,-8.370084916,-8.359033159,-8.329644124,-8.311582135,-8.277711197,-8.252253853,-8.210678458,-8.18104256,-8.134816215,-8.098551517,-8.046591925,-8.007211469,-7.951228352,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.267838017,-8.326924521,-8.363225079,-8.411248529,-8.416388045,-8.432256259,-8.428861791,-8.437325045,-8.424979522,-8.426412274,-8.40531002,-8.400653696,-8.373007503,-8.362899333,-8.326968064,-8.3093771,-8.269117097,-8.246209563,-8.200523435,-8.169866755,-8.118758393,-8.084264397,-8.027589829,-7.989555548,-7.928394726,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.286873096,-8.338562041,-8.376211899,-8.416673214,-8.421778419,-8.434857919,-8.430066281,-8.436315838,-8.422288136,-8.421177602,-8.399496456,-8.390661771,-8.362739621,-8.347296872,-8.314004409,-8.289206238,-8.24987603,-8.221476751,-8.177585869,-8.143132011,-8.091670536,-8.053250155,-7.996212872,-7.954435311,-7.892914697,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.318010948,-8.370754054,-8.399252716,-8.440404065,-8.441672335,-8.454002908,-8.445975384,-8.451309629,-8.43365135,-8.431848261,-8.406465872,-8.397242387,-8.365173051,-8.349056848,-8.3091378,-8.287121314,-8.241114647,-8.212570495,-8.163666069,-8.129718262,-8.073743481,-8.034990806,-7.973128116,-7.932788161,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.299763791,-8.334962286,-8.381191071,-8.408202935,-8.444489078,-8.444268149,-8.454093309,-8.444733682,-8.447428551,-8.429271743,-8.423864884,-8.398212055,-8.385615683,-8.353640673,-8.332455305,-8.292474233,-8.266265052,-8.220884026,-8.187049554,-8.137099682,-8.09887285,-8.042730695,-8.000181343,-7.937621547,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.280132214,-8.335608733,-8.364499771,-8.410628897,-8.432092506,-8.467269141,-8.463590635,-8.472489354,-8.459671584,-8.461460368,-8.438749793,-8.433061757,-8.401122468,-8.388589796,-8.352169823,-8.331603909,-8.285349051,-8.259117052,-8.209966937,-8.176101538,-8.122184554,-8.082840426,-8.022446425,-7.979223536,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.299598797,-8.350115203,-8.378825556,-8.418145578,-8.437985378,-8.469281921,-8.464046755,-8.469913535,-8.45656318,-8.455104956,-8.432450928,-8.42228196,-8.391364091,-8.373111431,-8.336453622,-8.311077735,-8.267936535,-8.23640878,-8.186358397,-8.148935659,-8.093145634,-8.050179017,-7.987980973,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.29982609,-8.336024189,-8.384564963,-8.407974799,-8.447589498,-8.461602916,-8.491221796,-8.481970989,-8.487074004,-8.469255308,-8.46704565,-8.439737198,-8.429273015,-8.393633647,-8.375654331,-8.334565961,-8.309833828,-8.261124596,-8.228853302,-8.17502924,-8.136544959,-8.076424936,-8.032508261,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.319481139,-8.353365565,-8.39761599,-8.41885252,-8.454540073,-8.465835714,-8.491058502,-8.479912192,-8.481859524,-8.463705057,-8.457851793,-8.430145577,-8.414763103,-8.380055624,-8.356900427,-8.315729893,-8.286461546,-8.235394696,-8.201826775,-8.146164899,-8.104944598,-8.043534273,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.30188428,-8.358719782,-8.388167597,-8.429488543,-8.446074533,-8.481909691,-8.487680533,-8.511787101,-8.496129045,-8.497083019,-8.474103917,-8.467494667,-8.435221254,-8.419936545,-8.37975438,-8.356970883,-8.310705462,-8.281484132,-8.227814971,-8.190994434,-8.131188166,-8.088400603,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.281515375,-8.323385572,-8.376061118,-8.403921536,-8.441454155,-8.457693014,-8.484626618,-8.490100583,-8.509093246,-8.492081705,-8.489326451,-8.465216691,-8.454581476,-8.422890466,-8.401825569,-8.36167734,-8.334426761,-8.288532834,-8.254528251,-8.200315646,-8.158642391,-8.099397304,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.32647751,-8.363030133,-8.413874041,-8.435779626,-8.474106795,-8.483959185,-8.511741309,-8.510023469,-8.528437829,-8.505854213,-8.501956692,-8.472894119,-8.46127791,-8.423450787,-8.403360477,-8.358581139,-8.330609881,-8.279328511,-8.243693278,-8.186507103,-8.144338998,-8.08130703,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.288243889,-8.348191595,-8.382875162,-8.428765179,-8.449205855,-8.481314334,-8.48990198,-8.512887712,-8.509523512,-8.52335926,-8.499508104,-8.490795557,-8.460736033,-8.444711027,-8.407126891,-8.380593465,-8.336882977,-8.303940526,-8.252021011,-8.212502464,-8.15380434,-8.108561463,-8.043994119,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.285254928,-8.333314112,-8.391105241,-8.420749876,-8.465030997,-8.480696905,-8.511881172,-8.514467559,-8.536336523,-8.527763132,-8.540482648,-8.511773101,-8.501190902,-8.465519409,-8.446979446,-8.404026887,-8.379402711,-8.329115953,-8.295594887,-8.238339131,-8.197797791,-8.134641558,-8.088990417,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.243919562,-8.31691149,-8.358194124,-8.41029811,-8.43782066,-8.476730819,-8.490900125,-8.517359755,-8.517768026,-8.534696738,-8.525516832,-8.533541513,-8.502767508,-8.485866888,-8.447742929,-8.428013419,-8.382592739,-8.353135672,-8.301939978,-8.264034145,-8.206269781,-8.161036331,-8.097738834,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.235392677,-8.291006054,-8.362646552,-8.401706081,-8.449824762,-8.473217326,-8.51070485,-8.519331241,-8.54480594,-8.540055784,-8.555553368,-8.540498452,-8.547078185,-8.511792471,-8.493812734,-8.449679812,-8.424852425,-8.376784181,-8.344468696,-8.290640708,-8.250486481,-8.188341494,-8.142512525,,,,,,,,,,,,,,,,,,,,
